Unique ID;Brand Name;Model Name;Model Number;Type;U  Processor Brand;U  Processor Name;U  Operating System Name;U  Base Processor Speed Per Core (GHz);U  Physical CPU Cores (count);U  System Memory (GB);WLAN Capability;Ethernet Capability?;Bluetooth Capability;Bluetooth Capability__1;U  Gigabit Ethernet Ports (count);U  Installed System Memory RAM (GB);U  Integrated Display Resolution (megapixels);U  Integrated Display Viewable Screen Area (sq in);U  Number of Storage Drives;;U  Storage Technology
2330787;Lenovo;ideacentre A340-22IWL;F0EB;Integrated Desktop;Intel;Core i3;Windows 10;2,1;2;8;Yes;Yes;Yes;Yes;1;8;2,07;197,52;1;Conventional;Hard Disk Drive
2330786;Lenovo;ThinkCentre M710t;10M9;Desktop;Intel;G3900;NA;2,8;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;1;Conventional;NA
2330784;Lenovo;ideacentre A340-22IGM;F0EA;Integrated Desktop;Intel;Pentium;Windows 10;1,5;4;8;Yes;Yes;Yes;Yes;1;8;2,07;197,52;2;Conventional;Solid State Drive,Hard Disk Drive
2330782;Lenovo;ideacentre A340-24IGM;F0E7;Integrated Desktop;Intel;Pentium;Windows 10;1,5;4;8;Yes;Yes;Yes;Yes;1;8;2,07;242,04;2;Conventional;Solid State Drive,Hard Disk Drive
2330780;Lenovo;ideacentre A340-22ICB;F0E9;Integrated Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;2,07;197,52;2;Conventional;Solid State Drive,Hard Disk Drive
2330655;HP;HP ProDesk 400 G4 MT Business PC ();ProDesk 400 G4 MT Business PC;Desktop;Intel;Celeron G3930;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2330653;Acer;D17W6;Aspire XC-330G;Desktop;AMD;A9-9420;Windows 10;3;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2330645;Intel;NUC;NUC8i3BEHFA;Desktop;Intel;Core i3;Windows 10;3;2;4;Yes;Yes;Yes;Yes;1;4;NA;NA;2;Conventional;Hard Disk Drive
2330571;Acer;D17W5;Aspire TC-330G;Desktop;AMD;A9-9420;Windows 10;3;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2330569;DELL;D19M;Inspiron 3668;Desktop;Intel;G3920;Ubuntu;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;3;Conventional;Hard Disk Drive
2330564;DELL;D18M;OptiPlex 3050 Tower;Desktop;Intel;G3900;Windows 10;2,8;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;4;Conventional;Solid State Drive,Hard Disk Drive
2330563;DELL;D13S;Vostro 3267;Desktop;Intel;G3990;Ubuntu;2,8;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Hard Disk Drive
2330562;DELL;D14S;Inspiron 3472;Desktop;Intel;J5005;Ubuntu;1,5;4;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Hard Disk Drive
2330098;Lenovo;ideacentre 310S-08ASR;90G9;Desktop;AMD;E2-9030;NA;2;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;NA
2329890;Lenovo;ThinkCentre M910x;10MY;Desktop;Intel;G3930;NA;2,8;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;NA
2329889;Lenovo;ThinkCentre M910q;10MU;Desktop;Intel;G4400T;NA;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;NA
2329887;Lenovo;ThinkCentre M710q;10MQ;Desktop;Intel;G4400T;NA;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;NA
2329414;DELL;D11S;OptiPlex 3050 SFF;Desktop;Intel;G3900;NA;2,8;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Hard Disk Drive
2329320;HP;HP EliteOne 800 G3 23.8-in Touch All-in-One PC ();EliteOne 800 G3 23.8-in Touch All-in-One PC;Integrated Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;2,07;242,18;4;Conventional;Solid State Drive,Hard Disk Drive
2329318;HP;HP EliteOne 1000 G1 34-in Curved AiO ();EliteOne 1000 G1 34-in Curved AiO;Integrated Desktop;Intel;Celeron G3930;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;4,95;415,05;2;Conventional;Solid State Drive,Other
2329314;HP;HP ProDesk 600 G3 MT Business PC ();ProDesk 600 G3 MT Business PC;Desktop;Intel;Celeron;Windows 10;2,9;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;3;Conventional;Hard Disk Drive
2329235;HP;HP RP5 Retail System, Model 5810 ();HP RP5 Retail System, Model 5810;Desktop;Intel;Celeron;Windows 8;2,7;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2329234;HP;HP ProDesk 600 G3 PCI MT Business PC ();ProDesk 600 G3 PCI MT Business PC;Desktop;Intel;Celeron;Windows 10;2,9;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;3;Conventional;Hard Disk Drive
2329233;HP;HP EliteDesk 705 G3 Desktop Mini ();EliteDesk 705 G3 Desktop Mini;Desktop;AMD;A6-9500E;Windows 10;3;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329229;HP;HP ProDesk 600 G3 SFF Business PC ();ProDesk 600 G3 SFF Business PC;Desktop;Intel;Celeron;Windows 10;2,9;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329228;HP;HP RP9 G1 AiO Retail System, Model 9015 ();RP9 G1 AiO Retail System, Model 9015;Integrated Desktop;Intel;Celeron G3900;Windows 7;2,8;2;32;Yes;Yes;Yes;Yes;1;32;1,05;103,3;2;Conventional;Solid State Drive
2329227;HP;HP 280 G3 MT Business PC ();280 G3 MT Business PC;Desktop;Intel;Pentium;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2329226;HP;HP Chromebox G2 ;G2;Desktop;Intel;i5-7300U;Chrome OS;2,6;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Solid State Drive
2329224;Lenovo;ideacentre AIO 520-24IKL;F0D1;Integrated Desktop;Intel;G4560T;Windows 7,Windows 8,, Windows Vista, Windows 8.1, Windows 10,;2,9;2;16;Yes;Yes;Yes;Yes;1;16;2,07;242,18;2;Conventional;Solid State Drive,Hard Disk Drive
2329222;ASUS;V241IC Series;V241IC;Integrated Desktop;Intel;Core i5;Windows 10;2,5;2;8;Yes;Yes;Yes;Yes;1;8;2,07;242,18;1;Conventional;Solid State Drive
2329220;ASUS;V222G Series;V222G;Integrated Desktop;Intel;Pentium;Windows 10;1,5;4;8;Yes;Yes;Yes;Yes;1;8;2,07;198,08;1;Conventional;Solid State Drive
2329218;HP;HP RP9 G1 AiO Retail System, Model 9118 ();RP9 G1 AiO Retail System, Model 9118;Integrated Desktop;Intel;G3930E;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;1,05;146,2;3;Conventional;Solid State Drive,Hard Disk Drive
2329159;Lenovo;ideacentre AIO 520-24AST;F0D3;Integrated Desktop;AMD;A9-9420;Windows 10;3;2;16;Yes;Yes;Yes;Yes;1;16;2,07;242,18;2;Conventional;Solid State Drive,Hard Disk Drive
2329154;Fujitsu;ESPRIMO G558;ESPRIMO G558;Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329140;DELL;W21C;Inspiron 24-3477;Integrated Desktop;Intel;Core i5;Windows 10;2,5;2;32;Yes;Yes;Yes;Yes;1;32;2,07;242,18;2;Conventional;Solid State Drive,Hard Disk Drive
2329137;Acer;D18Q1;CXI3;Desktop;Intel;Celeron 3865U;Chrome OS;1,8;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Other
2329136;HP;HP Pavilion Desktop 570 ();570-p;Desktop;NA;G3930T;Windows 10;2,7;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329135;HP;HP Slimline Desktop PC 270 ();270-p;Desktop;Intel;G3930T;Windows 10;2,7;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329132;HP;HP Slim Desktop PC 290 ();290-p;Desktop;Intel;G3900;Windows 10;2,8;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2329130;Acer;D18W4;VEX2620G;Desktop;Intel;J5005;Windows 10;1,5;4;8;Yes;Yes;No;No;NA;8;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328977;HP;HP Pavilion Desktop 510 ();510-p;Desktop;Intel;G4400T;Windows 10;2,9;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;1;Conventional;Hard Disk Drive
2328968;HP;HP EliteDesk 800 G2 DM 65W Business PC;HP EliteDesk 800 G2 DM 65W Business PC ();Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328963;Acer;Veriton Essential N76G;VEN76G;Desktop;Intel;i5-7200U;Windows 10;2,5;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328952;DELL;W19B;Inspiron 22-3277;Integrated Desktop;Intel;Core i5;Windows 10,Ubuntu;2,5;2;32;Yes;Yes;Yes;Yes;1;32;2,07;197,95;2;Conventional;Solid State Drive,Hard Disk Drive
2328946;DELL;D10U;OptiPlex 7050 Micro;Desktop;Intel;Celeron G3900;Windows 7,Linux,Windows 10;2,8;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328939;DELL;W18B;OptiPlex 3050 AIO;Integrated Desktop;Intel;Celeron G3900;Windows 7,Linux,Windows 10;2,8;2;32;Yes;Yes;Yes;Yes;1;32;1,44;158,96;2;Conventional;Solid State Drive,Hard Disk Drive
2328928;HP;HP RP9 G1 AiO Retail System, Model 9018 ();RP9 G1 AiO Retail System, Model 9018;Integrated Desktop;Intel;Celeron G3900;Windows 7;2,8;2;32;Yes;Yes;Yes;Yes;1;32;1,05;146,4;2;Conventional;Solid State Drive
2328927;HP;RP9 G1 AiO Retail System, Model 9115 ();RP9 G1 AiO Retail System, Model 9115;Integrated Desktop;Intel;G3930E;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;1,05;103,4;3;Conventional;Solid State Drive,Hard Disk Drive
2328926;HP;HP EliteDesk 800 G3 TWR Business PC ();EliteDesk 800 G3 TWR Business PC;Desktop;Intel;Celeron;Windows 10;2,9;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;Hard Disk Drive
2328925;HP;HP EliteDesk 800 G3 SFF Business PC ();EliteDesk 800 G3 SFF Business PC;Desktop;Intel;Celeron;Windows 10;2,9;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;2;Conventional;Hard Disk Drive
2328788;HP;HP Pavilion 27 All-in-One PC;27;Integrated Desktop;Intel;Pentium G4400T;Windows 10;2,9;2;16;Yes;Yes;Yes;Yes;1;16;3,69;310,47;1;Conventional;Hard Disk Drive
2328763;HP;HP Pavilion Desktop 510 ();510-a;Desktop;Intel;J3060;Windows 10;1,6;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;1;Conventional;Hard Disk Drive
2328683;HP;HP EliteDesk 800 G3 Desktop Mini ();EliteDesk 800 G3 Desktop Mini;Desktop;Intel;G3930;Windows 7;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2328666;HP;HP ProDesk 600 G3 Desktop Mini ();ProDesk 600 G3 Desktop Mini;Desktop;Intel;G4560T;Windows 7;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Hard Disk Drive
2328583;HP;HP 20 All-in-One PC;20;Integrated Desktop;Intel;Celeron J3060;Windows 10;1,6;2;16;Yes;Yes;Yes;Yes;1;16;2,07;160,89;1;Conventional;Hard Disk Drive
2328582;HP;HP 22 All-in-One PC;22;Integrated Desktop;Intel;Celeron J3060;Windows 10;1,6;2;16;Yes;Yes;Yes;Yes;1;16;2,07;197,6;1;Conventional;Hard Disk Drive
2328483;DELL;D11S;Dell Precision Tower 3420;Desktop;Intel;Pentium;NA;2,8;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;1;Conventional;Hard Disk Drive
2328463;Lenovo;ideacentre 510S-15IKL;90GB;Desktop;Intel;G3930;NA;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;NA
2328462;Lenovo;ideacentre 510A-15IKL;90GV;Desktop;Intel;G3930;NA;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;NA
2328457;Lenovo;ideacentre 510-15IKL;90G8;Desktop;Intel;G3930;NA;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;NA
2328450;HP;HP EliteOne 1000 G1 23.8-in Touch AiO ();EliteOne 1000 G1 23.8-in Touch AiO;Integrated Desktop;Intel;Celeron G3930;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;2,07;242,18;2;Conventional;Solid State Drive,Other
2328449;HP;HP Pavilion 24 All-in-One PC;24;Integrated Desktop;Intel;Pentium G4400T;Windows 10;2,9;2;16;Yes;Yes;Yes;Yes;1;16;2,07;240,95;1;Conventional;Hard Disk Drive
2328448;ASUS;V222U Series;V222U;Integrated Desktop;Intel;Core i3;Windows 10 Pro;2,2;2;4;Yes;Yes;Yes;Yes;1;4;2,07;198,08;1;Conventional;Solid State Drive
2328445;HP;HP Pavilion Desktop 570 ();570-a;Desktop;Intel;J3355;Windows 10;2;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328444;HP;HP 24 All-in-One PC;24;Integrated Desktop;Intel;Celeron J3060;Windows 10;1,6;2;16;Yes;Yes;Yes;Yes;1;16;2,07;242,18;1;Conventional;Hard Disk Drive
2328441;CTL;CBx1;CBx1;Desktop;Intel;i3-7100U;Chrome OS;2,4;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328440;HP;HP ProOne 400 G4 20.0-in Non-Touch GPU AiO PC ();ProOne 400 G4 20.0-in Non-Touch GPU AiO PC;Integrated Desktop;Intel;G4900T;Windows 10;2,9;2;32;Yes;Yes;No;No;1;32;1,44;171;2;Conventional;Solid State Drive,Hard Disk Drive
2328439;HP;HP Pavilion Desktop 590 ();590-a;Desktop;AMD;E2-9000;Windows 10;1,8;2;16;Yes;Yes;No;No;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328438;ViewSonic;NMP660;VS17358;Desktop;Intel;i3-7100U;Chrome OS;2,4;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328437;HP;HP ProOne 400 G4 23.8-in Non-Touch GPU AiO PC ();ProOne 400 G4 23.8-in Non-Touch GPU AiO PC;Integrated Desktop;Intel;G4900T;Windows 10;2,9;2;32;Yes;Yes;No;No;1;32;2,07;242,6;2;Conventional;Solid State Drive,Hard Disk Drive
2328436;HP;HP ProOne 600 G4 21.5-in Touch GPU All-in-One PC ();ProOne 600 G4 21.5-in Touch GPU All-in-One PC;Integrated Desktop;Intel;G4900T;Windows 10;2,9;2;32;Yes;Yes;No;No;1;32;2,07;197,7;2;Conventional;Solid State Drive,Hard Disk Drive
2328435;HP;HP EliteOne 1000 G1 27-in 4K UHD AiO ();EliteOne 1000 G1 27-in 4K UHD AiO;Integrated Desktop;Intel;Celeron G3930;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;8,29;310,47;2;Conventional;Solid State Drive,Other
2328434;HP;HP Slim Desktop PC 290 ();290-a;Desktop;Intel;J5005;Windows 10;1,5;4;16;Yes;Yes;No;No;1;16;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328380;Lenovo;ThinkCentreM810z;10NX;Integrated Desktop;Intel;G3900;Windows 10;2,8;2;NA;Yes;Yes;No;No;NA;NA;2,07;225,4;2;Conventional;Hard Disk Drive
2328375;HP;HP EliteDesk 705 G4 35W Desktop Mini GPU PC ();EliteDesk 705 G4 35W Desktop Mini GPU PC;Desktop;AMD;PRO A6-9500E;Windows 10;3;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Solid State Drive
2328368;HP;HP EliteOne 1000 G2 Base PC ();EliteOne 1000 G2 Base PC;Desktop;Intel;Celeron G4900T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Solid State Drive
2328367;HP;HP EliteOne 1000 G2 34-in Curved All-in-One PC ();EliteOne 1000 G2 34-in Curved All-in-One PC;Integrated Desktop;Intel;Celeron G4900T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;4,95;415,05;1;Conventional;Solid State Drive
2328366;HP;HP EliteOne 1000 G2 27-in 4K UHD All-in-One PC ();EliteOne 1000 G2 27-in 4K UHD All-in-One PC;Integrated Desktop;Intel;Celeron G4900T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;8,29;310,47;1;Conventional;Solid State Drive
2328289;HP;HP ProDesk 400 G4 Desktop Mini PC ();ProDesk 400 G4 Desktop Mini PC;Desktop;Intel;Celeron G4900T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Other
2328267;HP;HP ProDesk 600 G4 Desktop Mini PC ();ProDesk 600 G4 Desktop Mini PC;Desktop;Intel;Celeron G4900T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Other
2328265;HP;HP EliteOne 1000 G2 23.8-in Touch All-in-One PC ();EliteOne 1000 G2 23.8-in Touch All-in-One PC;Integrated Desktop;Intel;Celeron G4900T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;2,07;242,18;1;Conventional;Solid State Drive
2328263;HP;HP 260 G3 DM Business PC ();260 G3 DM Business PC;Desktop;Intel;i5-7200U;Windows 10;2,5;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
2328195;HP;HP Engage Flex Pro-C ();Engage Flex Pro-C;Desktop;Intel;Celeron;Windows 10;2,9;2;64;Yes;Yes;Yes;Yes;2;64;NA;NA;2;Conventional;Hard Disk Drive
2328157;HP;HP Engage Flex Pro ();Engage Flex Pro;Desktop;Intel;Celeron;Windows 10;2,9;2;64;Yes;Yes;Yes;Yes;2;64;NA;NA;2;Conventional;Hard Disk Drive
2328105;HP;HP EliteDesk 800 G4 35W Desktop Mini GPU PC (;EliteDesk 800 G4 35W Desktop Mini GPU PC;Desktop;Intel;Celeron G4900T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Solid State Drive
2328023;Acer;D18W3;Veriton N6660G;Desktop;Intel;G4900T;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;3;Conventional;Solid State Drive,Hard Disk Drive
2328021;Lenovo;ideacentre AIO 520-22ICB;F0DT;Integrated Desktop;Intel;G4900T;Windows 10;2,9;2;16;Yes;Yes;Yes;Yes;1;16;2,07;197,6;2;Conventional;Solid State Drive,Hard Disk Drive
2326493;Lenovo;ThinkCentre M910t;10MM;Desktop;Intel;Pentium;Windows 10;2,8;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;1;Conventional;Hard Disk Drive
2326492;Lenovo;ThinkCentre M910s;10MK;Desktop;Intel;Pentium;Windows 10;2,8;2;64;Yes;Yes;Yes;Yes;1;64;NA;NA;1;Conventional;Hard Disk Drive
2326491;Lenovo;Lenovo V520S-08IKL Desktop;10NM;Desktop;Intel;Pentium;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Hard Disk Drive
2326490;Lenovo;Lenovo V520-15IKL Desktop;10NK;Desktop;Intel;Pentium;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;1;Conventional;Hard Disk Drive
2326381;DELL;D10U;OptiPlex 7060 Micro;Desktop;Intel;Pentium;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;NA;32;NA;NA;2;NA;Solid State Drive,Hard Disk Drive
2326242;DELL;D10U;Wyse 7040;Desktop;Intel;G4400T;NA;2,9;2;16;Yes;Yes;Yes;Yes;1;16;NA;NA;1;Conventional;Hard Disk Drive
2326241;Lenovo;Thinkcentre M625q;10TF;Desktop;AMD;A9-9420e;Windows 7,Windows 10;1,8;2;8;Yes;Yes;Yes;Yes;1;8;NA;NA;1;Conventional;Solid State Drive
2326236;FUJITSU;ESPRIMO Q958;ESPRIMO Q958;Desktop;Intel;Celeron;Windows 10;2,9;2;32;Yes;Yes;Yes;Yes;1;32;NA;NA;2;Conventional;Solid State Drive,Hard Disk Drive
